field_name,display_name,description,data_type,required,allowed_values,unit,example,missing_value_rule,sensitivity,validation_rule,source,table,primary_key,ai_relevance
sample_id,Sample id,Stable unique identifier for one physical collection event. Format ZW-SMP-YYYY-NNN. Never reissued.,string,Yes,,,ZW-SMP-2026-001,Not permitted. A missing value fails validation and the record is not admitted.,public,"Primary key. Unique, no nulls.",Stream D — field collection event (ZW-SRC-001/002/003),environmental_samples,Yes,Join key across all four streams. This field is what makes the dataset multi-modal rather than four datasets.
collection_event_id,Collection event id,Groups samples taken on the same trip to the same site.,string,Yes,,,CE-EH-2026-014,Not permitted. A missing value fails validation and the record is not admitted.,public,Required; null rejected on insert.,Stream D — field collection event (ZW-SRC-001/002/003),environmental_samples,,Blocking variable. Samples from one event are not independent and must not be split across train and test.
source_id,Source id,Foreign key to governance/source_register.csv.,string,Yes,,,ZW-SRC-001,Not permitted. A missing value fails validation and the record is not admitted.,public,Required; null rejected on insert.,Stream D — field collection event (ZW-SRC-001/002/003),environmental_samples,,Traces every record to a documented source with a stated permission status and known limitations.
ecozone,Ecozone,"Sampling stratum, or 'Other' for a site the sampling frame never named. Only the three named strata carry a quota.",category,Yes,Eastern Highlands | Mazowe | Zvishavane | Other,,Eastern Highlands,Not permitted. A missing value fails validation and the record is not admitted.,public,Required; null rejected on insert. Must be one of: Eastern Highlands | Mazowe | Zvishavane | Other. 'Other' additionally requires locality_description (rule D5).,Stream D — field collection event (ZW-SRC-001/002/003/007),environmental_samples,,Stratification label; supports ecozone-held-out evaluation. Rows marked 'Other' are outside the stratified design and should be excluded from any representativeness claim.
province,Province,Administrative province.,string,Yes,,,Manicaland,Not permitted. A missing value fails validation and the record is not admitted.,public,Required; null rejected on insert.,Stream D — field collection event (ZW-SRC-001/002/003),environmental_samples,,Geographic covariate and bias-monitoring dimension.
district,District,Administrative district.,string,Yes,,,Chimanimani,Not permitted. A missing value fails validation and the record is not admitted.,public,Required; null rejected on insert.,Stream D — field collection event (ZW-SRC-001/002/003),environmental_samples,,Geographic covariate; the unit of community-level attribution.
ward,Ward,Ward. Finest geographic unit released publicly.,string,No,,,W12,"Empty string in CSV, null in JSON. Indicates not applicable or not yet determined; never a zero.",public,Free text; no constraint beyond type.,Stream D — field collection event (ZW-SRC-001/002/003),environmental_samples,,Coarsest safe spatial feature.
locality_description,Locality description,"Free-text description of the collection spot, written by the collector at the site. Carries the location detail that no controlled vocabulary holds for an out-of-frame site.",string,Only when ecozone = 'Other',,,Roadside woodland strip approx. 2 km west of the Devure crossing,"Empty string in CSV, null in JSON, permitted for the three named ecozones. Refused by the database when ecozone = 'Other'.",public,CHECK (ecozone <> 'Other' OR (locality_description IS NOT NULL AND locality_description <> '')) — rule D5.,Stream D — field collection event (ZW-SRC-001/002/003/007),environmental_samples,,"Not a model feature. It is what makes an out-of-frame site findable again for a resample, which is the only thing that makes such a record reproducible."
land_tenure,Land tenure,"Tenure class of the site, which determines which permission applies.",category,Yes,communal | resettlement | private | state_protected,,communal,Not permitted. A missing value fails validation and the record is not admitted.,public,Required; null rejected on insert. Must be one of: communal | resettlement | private | state_protected.,Stream D — field collection event (ZW-SRC-001/002/003),environmental_samples,,"Not a model feature. Records whether the sample came from communal or protected land, which the bias register requires disclosing."
gps_latitude,Gps latitude,Latitude. Field capture is at four or more decimal places; public release carries the ward centroid with location_masked set.,float,Yes,-22.5 to -15.5,decimal degrees (WGS 84),-19.8,Not permitted. A missing value fails validation and the record is not admitted.,internal,Required; null rejected on insert. Must fall between -22.5 and -15.5.,Stream D — field collection event (ZW-SRC-001/002/003),environmental_samples,,Deliberately degraded in public release. Models must not be able to relocate a harvest site.
gps_longitude,Gps longitude,Longitude. Same masking rule as latitude.,float,Yes,25.0 to 33.1,decimal degrees (WGS 84),32.86,Not permitted. A missing value fails validation and the record is not admitted.,internal,Required; null rejected on insert. Must fall between 25.0 and 33.1.,Stream D — field collection event (ZW-SRC-001/002/003),environmental_samples,,Deliberately degraded in public release.
gps_precision_m,Gps precision m,Radius of positional uncertainty in metres. 5000 indicates ward-centroid masking; 5 indicates raw field GPS.,integer,Yes,,metres,5000,Not permitted. A missing value fails validation and the record is not admitted.,public,Required; null rejected on insert.,Stream D — field collection event (ZW-SRC-001/002/003),environmental_samples,,"States how much spatial signal is actually present, so a downstream user does not over-trust the coordinates."
location_masked,Location masked,Whether the coordinates in this record have been blurred for release.,boolean,Yes,0 | 1,,1,Not permitted. A missing value fails validation and the record is not admitted.,public,Required; null rejected on insert.,Stream D — field collection event (ZW-SRC-001/002/003),environmental_samples,,Release-control flag; a masked record cannot claim field precision.
altitude_m,Altitude m,Metres above sea level.,integer,No,0 to 2600,metres,1420,"Empty string in CSV, null in JSON. Indicates not applicable or not yet determined; never a zero.",public,Must fall between 0 and 2600.,Stream D — field collection event (ZW-SRC-001/002/003),environmental_samples,,Strong predictor of secondary-metabolite profile in montane taxa.
sample_type,Sample type,Nature of the material collected.,category,Yes,soil | plant_tissue | fungus | water | bark | root | venom,,bark,Not permitted. A missing value fails validation and the record is not admitted.,public,Required; null rejected on insert. Must be one of: soil | plant_tissue | fungus | water | bark | root | venom.,Stream D — field collection event (ZW-SRC-001/002/003),environmental_samples,,Primary routing label for downstream processing.
collection_depth_cm,Collection depth cm,Depth below surface. Required when sample_type is soil.,integer,No,0 to 100,cm,10,"Empty string in CSV, null in JSON. Indicates not applicable or not yet determined; never a zero.",public,Must fall between 0 and 100. Required when sample_type = 'soil'.,Stream D — field collection event (ZW-SRC-001/002/003),environmental_samples,,Soil microbial community composition is strongly depth-stratified; without it soil records are not comparable.
local_name,Local name,Vernacular name as given in the field.,string,No,,,Muranga,"Empty string in CSV, null in JSON. Indicates not applicable or not yet determined; never a zero.",public,Free text; no constraint beyond type.,Stream D — field collection event (ZW-SRC-001/002/003),environmental_samples,,Bridges heritage records to Linnaean taxonomy; an entity-linking target.
local_name_language,Local name language,ISO 639-1 tag for the vernacular name.,category,No,sn | nd | en,,sn,"Empty string in CSV, null in JSON. Indicates not applicable or not yet determined; never a zero.",public,Must be one of: sn | nd | en.,Stream D — field collection event (ZW-SRC-001/002/003),environmental_samples,,Routes text to the correct tokenizer.
scientific_name,Scientific name,Binomial where determined. Null is valid for soil and microbial samples.,string,No,,,Warburgia salutaris,"Empty string in CSV, null in JSON. Indicates not applicable or not yet determined; never a zero.",public,Free text; no constraint beyond type.,Stream D — field collection event (ZW-SRC-001/002/003),environmental_samples,,Label for taxonomic classification tasks.
taxon_confidence,Taxon confidence,How the identification was established.,category,No,field_tentative | herbarium_confirmed | sequence_confirmed,,herbarium_confirmed,"Empty string in CSV, null in JSON. Indicates not applicable or not yet determined; never a zero.",public,Must be one of: field_tentative | herbarium_confirmed | sequence_confirmed.,Stream D — field collection event (ZW-SRC-001/002/003),environmental_samples,,Label-noise indicator. Field-tentative records must be down-weighted.
voucher_specimen_ref,Voucher specimen ref,National Herbarium accession where a voucher was lodged.,string,No,,,HERB-ZW-2026-0101,"Empty string in CSV, null in JSON. Indicates not applicable or not yet determined; never a zero.",public,Free text; no constraint beyond type.,Stream D — field collection event (ZW-SRC-001/002/003),environmental_samples,,External route to re-verify any identification independently.
collection_date,Collection date,Date of collection.,date,Yes,,,2026-09-14,Not permitted. A missing value fails validation and the record is not admitted.,public,Required; null rejected on insert. ISO 8601.,Stream D — field collection event (ZW-SRC-001/002/003),environmental_samples,,Temporal split variable.
season,Season,"Dry or wet, per the collection date.",category,Yes,dry | wet,,dry,Not permitted. A missing value fails validation and the record is not admitted.,public,Required; null rejected on insert. Must be one of: dry | wet.,Stream D — field collection event (ZW-SRC-001/002/003),environmental_samples,,Chemistry differs between seasons. A single-season dataset silently confounds season with site.
soil_ph,Soil ph,Field-measured soil pH.,float,No,0 to 14,pH units,5.8,"Empty string in CSV, null in JSON. Indicates not applicable or not yet determined; never a zero.",public,Must fall between 0 and 14.,Stream D — field collection event (ZW-SRC-001/002/003),environmental_samples,,Environmental covariate for microbial community composition.
temperature_celsius,Temperature celsius,Ambient temperature at collection.,float,No,,degrees Celsius,21.4,"Empty string in CSV, null in JSON. Indicates not applicable or not yet determined; never a zero.",public,Free text; no constraint beyond type.,Stream D — field collection event (ZW-SRC-001/002/003),environmental_samples,,Covariate; central to the thermophile hypothesis in the lowveld stratum.
rainfall_prior_30d_mm,Rainfall prior 30d mm,Cumulative rainfall over the 30 days before collection.,float,No,,mm,12.0,"Empty string in CSV, null in JSON. Indicates not applicable or not yet determined; never a zero.",public,Free text; no constraint beyond type.,Stream D — field collection event (ZW-SRC-001/002/003),environmental_samples,,Explains within-season variance that the season tag alone misses.
canopy_cover_pct,Canopy cover pct,Estimated canopy cover above the collection point.,integer,No,0 to 100,percent,65,"Empty string in CSV, null in JSON. Indicates not applicable or not yet determined; never a zero.",public,Must fall between 0 and 100.,Stream D — field collection event (ZW-SRC-001/002/003),environmental_samples,,Light-regime covariate.
collector_id,Collector id,Pseudonymous identifier of the field collector.,string,Yes,,,COL-003,Not permitted. A missing value fails validation and the record is not admitted.,internal,Required; null rejected on insert.,Stream D — field collection event (ZW-SRC-001/002/003),environmental_samples,,Enables detection of collector-specific systematic bias.
preservation_method,Preservation method,How the sample was stabilised.,category,Yes,rnalater | silica_gel | flash_frozen | ethanol_70 | air_dried,,silica_gel,Not permitted. A missing value fails validation and the record is not admitted.,public,Required; null rejected on insert. Must be one of: rnalater | silica_gel | flash_frozen | ethanol_70 | air_dried.,Stream D — field collection event (ZW-SRC-001/002/003),environmental_samples,,"Batch-effect variable that must be modelled, not ignored."
minutes_to_preservation,Minutes to preservation,Elapsed minutes from collection to stabilisation.,integer,Yes,,minutes,41,Not permitted. A missing value fails validation and the record is not admitted.,public,Required; null rejected on insert.,Stream D — field collection event (ZW-SRC-001/002/003),environmental_samples,,"The operational metric the mobile laboratory exists to hold down, and a degradation covariate for metabolomics."
processing_lab,Processing lab,Facility that processed the sample. MOBILE-LEC-01 denotes the field unit.,string,Yes,,,MOBILE-LEC-01,Not permitted. A missing value fails validation and the record is not admitted.,public,Required; null rejected on insert.,Stream D — field collection event (ZW-SRC-001/002/003),environmental_samples,,Batch-effect variable.
