label_id,label_name,applies_to,data_type,allowed_values,definition,positive_example,negative_example,assigned_by,review_method
LBL-01,organism_novelty,genomic_sequences,category,known | divergent | putative_novel | unassessed,"Novelty of the sequence against NCBI GenBank, from BLAST percent identity to the closest described organism. known >=98%; divergent 95-98%; putative_novel <95%; unassessed where no BLAST was run.",A 16S sequence at 91.2% identity to its nearest neighbour -> putative_novel,A sequence at 99.4% identity labelled putative_novel because the taxon is locally unfamiliar. Local unfamiliarity is not novelty.,automated (BLAST) then human review,10% human audit; any putative_novel call reviewed by a second bioinformatician
LBL-02,predicted_function,genomic_sequences,string,"free text, model-derived",Predicted protein or gene-cluster function from a structure or sequence model. Always recorded with the model and version that produced it.,'non-ribosomal peptide synthetase (predicted)' from an antiSMASH cluster call,"'antibiotic' — a claim about activity, not a prediction about function. Activity requires wet-lab assay.",automated (model inference),spot-checked against cluster boundaries
LBL-03,disease_target_relevance,genomic_sequences,float,0.0 to 1.0,"Model-estimated relevance of the sequence to one of the four declared disease targets. A prioritisation score for wet-lab triage, not a prediction of efficacy.",0.81 for a BGC-dense actinomycete metagenome against AMR targets,Reporting 0.81 as an 81% chance the compound works. It is a ranking aid.,automated,distribution reviewed per batch; not used as a sole basis for any claim
LBL-04,annotation_confidence,"genomic_sequences, metabolomic_profiles",float,0.0 to 1.0,"Confidence in the annotation itself, distinct from confidence in the underlying measurement.",0.31 on an unmatched spectral feature,Leaving it blank because the annotation is a guess. A low score is information; a null is not.,automated,audited alongside the label it qualifies
LBL-05,compound_class,metabolomic_profiles,category,antimicrobial | anti-parasitic | anti-inflammatory | unknown,"Putative activity class of the annotated compound, inferred from spectral library match and published activity of the matched compound. Never from the traditional indication alone.","Quercetin -> anti-inflammatory, from a level 1 library match and published activity",Assigning anti-parasitic because a holder described an anti-parasitic use. That would launder the heritage record into a chemical claim and destroy the independence of the two streams.,human annotator with pharmaceutical chemistry background,double annotation on all non-unknown assignments; disagreement escalated to adjudication
LBL-06,msi_annotation_level,metabolomic_profiles,integer,1 | 2 | 3 | 4,Metabolomics Standards Initiative identification confidence. 1 confirmed against an authentic standard; 2 putative from spectral library; 3 putative class only; 4 unknown.,Chlorogenic acid at 0.98 library match with a matching InChIKey -> level 1,"Calling a level 3 feature by a specific compound name in a report. Level 3 supports a class, not a name.",human annotator,every level 1 claim independently verified before release
LBL-07,compound_novelty,metabolomic_profiles,category,known | analogue | putative_novel | unassessed,Novelty of the compound against external natural-product databases.,An unmatched formula with no database hit -> putative_novel,"Marking novel because it is absent from one library. Absence from a Western-biased library is the expected case here, not evidence.",automated then human review,second reviewer on all novel calls
LBL-08,heritage_link,genomic_sequences,string,tk_id or null,Denormalised foreign key to the heritage record that directed collection of the parent sample. Present so label joins do not require a three-table hop.,ZW-TK-2026-001 on a sequence from a knowledge-led sample,"Populating it from geographic proximity. The link means 'this knowledge caused this collection', not 'these were near each other'.",derived from environmental_samples,validator checks it matches the parent sample's heritage_use_ref
LBL-09,translation_status,heritage_knowledge,category,pending | machine_draft | human_verified,Whether the English rendering of a verbatim vernacular record has been checked by a bilingual reviewer. The vernacular text is the scientific object; the translation is a derivative.,human_verified after a second Shona-speaking reviewer confirms the rendering,Releasing a machine_draft record. Records below human_verified are held out of every tier.,bilingual validator,second bilingual reviewer; disagreements resolved with the holder where possible
LBL-10,taxon_confidence,environmental_samples,category,field_tentative | herbarium_confirmed | sequence_confirmed,How a taxonomic identification was established. A label-noise indicator for any model trained on species labels.,A specimen matched to a National Herbarium accession -> herbarium_confirmed,Upgrading to herbarium_confirmed because the field team was confident.,"field team, then National Herbarium, then sequencing",field_tentative records down-weighted in training and flagged in any release
